"filename", "language", "YAML", "Markdown", "Python", "Batch", "Properties", "PowerShell", "Shell Script", "PostCSS", "JSON", "pip requirements", "comment", "blank", "total"
"c:\HomeDashboard\.github\workflows\ci.yml", "YAML", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 43
"c:\HomeDashboard\.pre-commit-config.yaml", "YAML", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"c:\HomeDashboard\CHANGELOG.md", "Markdown", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 42
"c:\HomeDashboard\CHANGELOG_EN.md", "Markdown", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 42
"c:\HomeDashboard\QUALITY.md", "Markdown", 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 122
"c:\HomeDashboard\README.md", "Markdown", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 150
"c:\HomeDashboard\README_en.md", "Markdown", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 150
"c:\HomeDashboard\assets\style.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 24, 14, 147
"c:\HomeDashboard\bandit.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 6
"c:\HomeDashboard\check_imports.py", "Python", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 7, 8, 36
"c:\HomeDashboard\data\btc_ath_cache.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\HomeDashboard\data\nimipaivat_fi.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 394, 0, 0, 1, 395
"c:\HomeDashboard\data\pyhat_fi.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 11, 47
"c:\HomeDashboard\docs\mermaid\architecture.md", "Markdown", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 47
"c:\HomeDashboard\docs\mermaid\deployment.md", "Markdown", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\HomeDashboard\docs\mermaid\sequence_bitcoin.md", "Markdown", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\HomeDashboard\docs\mermaid\sequence_electricity.md", "Markdown", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\HomeDashboard\docs\mermaid\sequence_system.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\HomeDashboard\docs\mermaid\sequence_weather.md", "Markdown", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\HomeDashboard\docs\mermaid\state_cache.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\HomeDashboard\main.py", "Python", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 17, 19, 94
"c:\HomeDashboard\requirements.in", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 3, 4, 23
"c:\HomeDashboard\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"c:\HomeDashboard\scripts\DeployToPi.ps1", "PowerShell", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 3, 14, 86
"c:\HomeDashboard\scripts\Generate-UML.ps1", "PowerShell", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 5, 18
"c:\HomeDashboard\scripts\GitSync.bat", "Batch", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 8, 11, 48
